reference.x_left,reference.y_left,reference.rho_left,reference.x_right,reference.y_right,reference.rho_right,reference.speed
5309.4399561262,-89878.504554665,0,5308.10883191438,-89883.8410430546,0,11.111
5309.39144259538,-89878.4924535358,0,5308.06031838356,-89883.8289419254,0,11.111
5309.34292906457,-89878.4803524066,0,5308.01180485275,-89883.8168407962,0,11.111
5309.29441553375,-89878.4682512774,0,5307.96329132193,-89883.804739667,0,11.111
5309.24590200294,-89878.4561501482,0,5307.91477779112,-89883.7926385378,0,11.111
5309.19738847212,-89878.444049019,0,5307.8662642603,-89883.7805374086,0,11.111
5309.14887494131,-89878.4319478898,0,5307.81775072949,-89883.7684362794,0,11.111
5309.10036141049,-89878.4198467606,0,5307.76923719867,-89883.7563351502,0,11.111
5309.05184787968,-89878.4077456314,0,5307.72072366786,-89883.744234021,0,11.111
5309.00333434886,-89878.3956445022,0,5307.67221013704,-89883.7321328918,0,11.111
5308.95482081805,-89878.383543373,0,5307.62369660623,-89883.7200317626,0,11.111
5308.90630728723,-89878.3714422438,0,5307.57518307541,-89883.7079306334,0,11.111
5308.85779375642,-89878.3593411146,0,5307.5266695446,-89883.6958295042,0,11.111
5308.8092802256,-89878.3472399854,0,5307.47815601378,-89883.683728375,0,11.111
5308.76076669479,-89878.3351388562,0,5307.42964248297,-89883.6716272458,0,11.111
5308.71225316397,-89878.323037727,0,5307.38112895215,-89883.6595261166,0,11.111
5308.66373963316,-89878.3109365978,0,5307.33261542134,-89883.6474249874,0,11.111
5308.61522610234,-89878.2988354686,0,5307.28410189052,-89883.6353238582,0,11.111
5308.56671257153,-89878.2867343394,0,5307.23558835971,-89883.623222729,0,11.111
5308.51819904071,-89878.2746332102,0,5307.18707482889,-89883.6111215998,0,11.111
5308.4696855099,-89878.262532081,0,5307.13856129808,-89883.5990204706,0,11.111
5308.42117197909,-89878.2504309518,0,5307.09004776726,-89883.5869193414,0,11.111
5308.37265844827,-89878.2383298226,0,5307.04153423645,-89883.5748182122,0,11.111
5308.32414491746,-89878.2262286934,0,5306.99302070564,-89883.562717083,0,11.111
5308.27563138664,-89878.2141275642,0,5306.94450717482,-89883.5506159538,0,11.111
5308.22711785583,-89878.202026435,0,5306.89599364401,-89883.5385148246,0,11.111
5308.17860432501,-89878.1899253058,0,5306.84748011319,-89883.5264136954,0,11.111
5308.1300907942,-89878.1778241766,0,5306.79896658238,-89883.5143125662,0,11.111
5308.08157726338,-89878.1657230474,0,5306.75045305156,-89883.5022114371,0,11.111
5308.03306373257,-89878.1536219182,0,5306.70193952075,-89883.4901103078,0,11.111
5307.98455020175,-89878.141520789,0,5306.65342598993,-89883.4780091787,0,11.111
5307.93603667094,-89878.1294196598,0,5306.60491245912,-89883.4659080494,0,11.111
5307.88752314012,-89878.1173185306,0,5306.5563989283,-89883.4538069203,0,11.111
5307.83900960931,-89878.1052174014,0,5306.50788539749,-89883.441705791,0,11.111
5307.79049607849,-89878.0931162722,0,5306.45937186667,-89883.4296046619,0,11.111
5307.74198254768,-89878.081015143,0,5306.41085833586,-89883.4175035327,0,11.111
5307.69346901686,-89878.0689140138,0,5306.36234480504,-89883.4054024035,0,11.111
5307.64495548605,-89878.0568128846,0,5306.31383127423,-89883.3933012743,0,11.111
5307.59644195523,-89878.0447117554,0,5306.26531774341,-89883.3812001451,0,11.111
5307.54792842442,-89878.0326106262,0,5306.2168042126,-89883.3690990159,0,11.111
5307.4994148936,-89878.020509497,0,5306.16829068178,-89883.3569978867,0,11.111
5307.45090136279,-89878.0084083678,0,5306.11977715097,-89883.3448967575,0,11.111
5307.40238783197,-89877.9963072386,0,5306.07126362015,-89883.3327956283,0,11.111
5307.35387430116,-89877.9842061094,0,5306.02275008934,-89883.3206944991,0,11.111
5307.30536077034,-89877.9721049802,0,5305.97423655852,-89883.3085933699,0,11.111
5307.25684723953,-89877.960003851,0,5305.92572302771,-89883.2964922407,0,11.111
5307.20833370871,-89877.9479027218,0,5305.87720949689,-89883.2843911115,0,11.111
5307.1598201779,-89877.9358015926,0,5305.82869596608,-89883.2722899823,0,11.111
5307.11130664708,-89877.9237004634,0,5305.78018243526,-89883.2601888531,0,11.111
5307.06279311627,-89877.9115993342,0,5305.73166890445,-89883.2480877239,0,11.111
5307.01427958545,-89877.899498205,0,5305.68315537363,-89883.2359865947,0,11.111
